data,valor,cdi_diario
2012-11-26,0.027334,0.00027334
2012-11-27,0.027297,0.00027297
2012-11-28,0.02726,0.0002726
2012-11-29,0.027112,0.00027112
2012-11-30,0.027075,0.00027075
2012-12-03,0.027112,0.00027112
2012-12-04,0.027112,0.00027112
2012-12-05,0.027075,0.00027075
2012-12-06,0.027038,0.00027037999999999997
2012-12-07,0.027001,0.00027001
2012-12-10,0.026889,0.00026889
2012-12-11,0.026741,0.00026741
2012-12-12,0.026741,0.00026741
2012-12-13,0.026667,0.00026667
2012-12-14,0.026481,0.00026481000000000003
2012-12-17,0.026444,0.00026444
2012-12-18,0.02637,0.0002637
2012-12-19,0.026258,0.00026258
2012-12-20,0.026295,0.00026294999999999997
2012-12-21,0.02637,0.0002637
2012-12-24,0.02637,0.0002637
2012-12-26,0.026481,0.00026481000000000003
2012-12-27,0.026481,0.00026481000000000003
2012-12-28,0.026481,0.00026481000000000003
2012-12-31,0.026481,0.00026481000000000003
2013-01-02,0.026555,0.00026555
2013-01-03,0.026555,0.00026555
2013-01-04,0.026593,0.00026593
2013-01-07,0.026555,0.00026555
2013-01-08,0.026518,0.00026518
2013-01-09,0.026481,0.00026481000000000003
2013-01-10,0.026518,0.00026518
2013-01-11,0.026555,0.00026555
2013-01-14,0.026593,0.00026593
2013-01-15,0.02663,0.0002663
2013-01-16,0.02663,0.0002663
2013-01-17,0.02663,0.0002663
2013-01-18,0.026555,0.00026555
2013-01-21,0.026593,0.00026593
2013-01-22,0.026593,0.00026593
2013-01-23,0.026593,0.00026593
2013-01-24,0.026593,0.00026593
2013-01-25,0.02663,0.0002663
2013-01-28,0.02663,0.0002663
2013-01-29,0.026667,0.00026667
2013-01-30,0.026667,0.00026667
2013-01-31,0.026667,0.00026667
2013-02-01,0.026667,0.00026667
2013-02-04,0.026704,0.00026703999999999996
2013-02-05,0.026704,0.00026703999999999996
2013-02-06,0.026704,0.00026703999999999996
2013-02-07,0.026667,0.00026667
2013-02-08,0.026667,0.00026667
2013-02-13,0.026667,0.00026667
2013-02-14,0.02663,0.0002663
2013-02-15,0.02663,0.0002663
2013-02-18,0.02663,0.0002663
2013-02-19,0.026593,0.00026593
2013-02-20,0.026667,0.00026667
2013-02-21,0.026667,0.00026667
2013-02-22,0.026704,0.00026703999999999996
2013-02-25,0.026852,0.00026852
2013-02-26,0.026778,0.00026778
2013-02-27,0.026778,0.00026778
2013-02-28,0.026778,0.00026778
